"Time (s)"	"Acceleration (m/sÂ²)"
1.481749990E-3	5.201566100E-2
4.163375002E-2	-1.035039032E-1
8.178475004E-2	-2.312573791E-3
1.219367500E-1	-7.745631158E-2
1.620877500E-1	1.385907054E-2
2.022387500E-1	2.912556589E-2
2.423907500E-1	-5.814471245E-2
2.825417500E-1	-1.530420989E-1
3.226937500E-1	8.720478952E-2
3.628447500E-1	6.191499710E-2
4.029967500E-1	1.985071242E-2
4.431477500E-1	-2.011559129E-2
4.832987500E-1	-4.855410933E-2
5.234507500E-1	-3.746954262E-2
5.636017500E-1	-1.082144201E-2
6.037537500E-1	2.518395782E-3
6.439047500E-1	-2.846658468E-2
6.840567500E-1	-1.034898698E-2
7.242077500E-1	-1.783225358E-2
7.643597500E-1	-2.545585334E-2
8.045107500E-1	-3.129020512E-2
8.446617500E-1	-1.676981449E-2
8.848137500E-1	-2.859171510E-2
9.249646667E-1	-5.539652109E-3
9.651166667E-1	-3.457458615E-2
1.005267667E0	-1.302291870E-2
1.045419667E0	-2.065938234E-2
1.085570667E0	-1.137575805E-2
1.125722667E0	-2.080673218E-2
1.165873667E0	-4.146319091E-2
1.206024667E0	-2.574002802E-2
1.246176667E0	-2.633878291E-2
1.286327667E0	-3.486987054E-2
1.326479667E0	1.360647082E-3
1.366630667E0	-7.175703049E-3
1.406782667E0	-3.112122059E-2
1.446933667E0	-2.753044546E-2
1.487085667E0	1.258262336E-2
1.527236667E0	-9.873023629E-3
1.567387667E0	-2.244687617E-2
1.607539667E0	-2.933548093E-2
1.647690667E0	-3.517743409E-2
1.687842667E0	-2.125345945E-2
1.727993667E0	3.892491460E-3
1.768145667E0	-2.649373412E-2
1.808296667E0	-3.218190551E-2
1.848447667E0	-2.544298947E-2
1.888599667E0	-4.700050414E-2
1.928750875E0	-7.030107379E-3
1.968902875E0	3.306600451E-3
2.009053875E0	-2.453725576E-2
2.049205875E0	-2.798068106E-2
2.089356875E0	-5.101695657E-2
2.129507875E0	-1.733231664E-2
2.169659875E0	-2.241588593E-2
2.209810875E0	2.368005395E-2
2.249962875E0	4.516974092E-3
2.290113875E0	-1.569626570E-2
2.330265875E0	-2.572774887E-2
2.370416875E0	-3.635389388E-2
2.410568875E0	-3.964002907E-2
2.450719875E0	-3.050901711E-2
2.490870875E0	-2.138619125E-2
2.531022875E0	1.708322525E-2
2.571173875E0	-4.757470071E-2
2.611325875E0	-1.464961410E-2
2.651476875E0	-1.480105698E-2
2.691628875E0	-4.608190656E-2
2.731779875E0	-2.587042093E-2
2.771930875E0	-1.478293061E-2
2.812082875E0	1.814449489E-2
2.852233875E0	-2.003256083E-2
2.892385875E0	-3.380567729E-2
2.932537250E0	-3.964587629E-2
2.972689250E0	-2.198494613E-2
3.012840250E0	-3.366826773E-2
3.052991250E0	1.841346681E-2
3.093143250E0	-3.886059523E-3
3.133294250E0	6.150101423E-3
3.173446250E0	-6.494619370E-2
3.213597250E0	-3.934532940E-2
3.253749250E0	-4.457975686E-2
3.293900250E0	5.272726715E-2
3.334051250E0	-3.904361308E-2
3.374203250E0	-3.456990838E-2
3.414354250E0	1.526708007E-2
3.454506250E0	-5.375754654E-2
3.494657250E0	-1.184938252E-2
3.534809250E0	8.469808817E-2
3.574960250E0	-3.309757948E-2
3.615111250E0	-3.922546148E-2
3.655263250E0	-2.125229001E-2
3.695414250E0	-5.266996443E-2
3.735566250E0	-8.289656103E-2
3.775717250E0	-2.345961392E-2
3.815869250E0	9.443253279E-4
3.856020250E0	-2.045122147E-2
3.896171250E0	-5.846104681E-2
3.936322417E0	-5.861248970E-2
3.976473417E0	-2.225040972E-2
4.016625417E0	7.863218665E-2
4.056776417E0	-4.200581253E-2
4.096927417E0	-4.935108483E-2
4.137079417E0	2.953487098E-2
4.177230417E0	-3.318821132E-2
4.217382417E0	-4.350854695E-2
4.257533417E0	1.399823427E-3
4.297685417E0	-3.602411091E-2
4.337836417E0	-7.144128084E-3
4.377987417E0	-2.002086639E-2
4.418139417E0	-2.571079195E-2
4.458290417E0	-1.133716643E-2
4.498442417E0	-3.108730674E-2
4.538593417E0	2.414315343E-2
4.578744417E0	7.922977209E-4
4.618896417E0	-3.932252526E-2
4.659047417E0	-3.244269133E-2
4.699199417E0	-2.599555135E-2
4.739350417E0	1.936597824E-2
4.779502417E0	-1.417482018E-2
4.819653417E0	-4.785361290E-2
4.859804417E0	-8.632244468E-3
4.899956417E0	-2.074650586E-2
4.940108250E0	-2.299183667E-2
4.980260250E0	-4.275425613E-2
5.020411250E0	4.991183281E-3
5.060562250E0	-2.899517298E-2
5.100714250E0	-4.321209311E-2
5.140865250E0	-3.393314660E-2
5.181017250E0	-2.031264246E-2
5.221168250E0	-1.672245204E-2
5.261320250E0	4.330389440E-2
5.301471250E0	-1.164648414E-2
5.341622250E0	8.262115717E-3
5.381774250E0	-4.462594986E-3
5.421925250E0	-3.544348240E-2
5.462077250E0	-4.277822971E-2
5.502228250E0	-2.736087620E-2
5.542379250E0	-7.301418185E-3
5.582531250E0	-2.869871914E-2
5.622682250E0	-3.976808310E-2
5.662834250E0	-1.911220908E-2
5.702985250E0	-9.383611679E-3
5.743136250E0	-5.332660675E-3
5.783288250E0	-3.451085150E-2
5.823439250E0	-1.609738469E-2
5.863591250E0	-1.115064025E-2
5.903742250E0	-3.179715872E-2
5.943893250E0	-5.449020267E-3
5.984045250E0	-2.430395186E-2
6.024196250E0	-1.981562912E-2
6.064348250E0	-3.133873701E-2
6.104499250E0	-4.017972708E-2
6.144651250E0	-4.004699528E-2
6.184802250E0	7.392050028E-3
6.224953250E0	-1.641371906E-2
6.265105250E0	-1.685810745E-2
6.305256250E0	-4.664031565E-2
6.345408250E0	-2.359643877E-2
6.385559250E0	-2.135110795E-2
6.425710250E0	-1.625935256E-2
6.465862250E0	-2.060149491E-2
6.506013250E0	8.901801109E-3
6.546165250E0	3.449798763E-2
6.586316250E0	1.082956964E-1
6.626467250E0	1.978142291E-1
6.666619250E0	2.094922882E-1
6.706770250E0	2.162323737E-1
6.746922250E0	2.096530867E-1
6.787073250E0	1.768735957E-1
6.827224250E0	1.675917256E-1
6.867376250E0	1.247854292E-1
6.907526750E0	1.384111959E-1
6.947678750E0	2.204423690E-1
6.987829750E0	2.738753951E-1
7.027980750E0	3.690809298E-1
7.068132750E0	3.747702706E-1
7.108283750E0	3.964792281E-1
7.148434750E0	4.089057308E-1
7.188586750E0	4.590456051E-1
7.228737750E0	5.135352230E-1
7.268889750E0	5.485734934E-1
7.309040750E0	5.871867514E-1
7.349191750E0	5.868745100E-1
7.389343750E0	6.627707845E-1
7.429494750E0	5.832925057E-1
7.469646750E0	7.038006967E-1
7.509797750E0	6.856866074E-1
7.549948750E0	6.651658040E-1
7.590100750E0	6.973488790E-1
7.630251750E0	7.072230721E-1
7.670403750E0	7.112687606E-1
7.710554750E0	7.385121077E-1
7.750705750E0	6.965986812E-1
7.790857750E0	7.088719869E-1
7.831008750E0	7.281818318E-1
7.871160750E0	6.524457711E-1
7.911311500E0	6.994527072E-1
7.951462500E0	6.226723337E-1
7.991614500E0	5.386466753E-1
8.031765500E0	5.423187268E-1
8.071916500E0	5.494505757E-1
8.112068500E0	5.037949312E-1
8.152219500E0	4.689180440E-1
8.192371500E0	4.883389860E-1
8.232522500E0	4.699518317E-1
8.272673500E0	4.236927545E-1
8.312825500E0	4.098038632E-1
8.352976500E0	3.929200280E-1
8.393128500E0	2.770258749E-1
8.433279500E0	3.579583561E-1
8.473430500E0	2.771346331E-1
8.513582500E0	3.205116177E-1
8.553733500E0	1.437421024E-1
8.593884500E0	1.787751102E-1
8.634036500E0	1.103825676E-1
8.674187500E0	2.138168889E-1
8.714339500E0	1.624911994E-1
8.754490500E0	1.069713020E-1
8.794641500E0	9.875011683E-2
8.834793500E0	3.978971779E-2
8.874944500E0	6.524089336E-2
8.915096375E0	6.330020249E-2
8.955247375E0	-5.998658538E-3
8.995398375E0	-1.617515266E-2
9.035550375E0	-3.086043477E-2
9.075701375E0	-4.689408481E-2
9.115852375E0	-5.438202918E-2
9.156004375E0	-6.845159948E-2
9.196155375E0	-4.210579991E-2
9.236306375E0	-1.079618204E-1
9.276458375E0	-7.382752955E-2
9.316609375E0	-1.747177273E-1
9.356761375E0	-1.652820754E-1
9.396912375E0	-1.776974684E-1
9.437063375E0	-1.627367824E-1
9.477215375E0	-4.644560337E-2
9.517366375E0	-6.008189499E-2
9.557517375E0	-1.018508953E-1
9.597669375E0	-2.041029096E-2
9.637820375E0	-2.489978313E-2
9.677972375E0	-7.384507120E-2
9.718123375E0	-1.045359367E-1
9.758274375E0	-1.186119390E-1
9.798426375E0	-1.355150700E-1
9.838577375E0	6.226115227E-3
9.878728375E0	-7.446019828E-2
9.918880750E0	-5.813594162E-2
9.959031750E0	-7.968702435E-2
9.999183750E0	-8.312752604E-2
1.003933475E1	-5.213845253E-2
1.007948575E1	-6.515961707E-2
1.011963775E1	-6.366097569E-2
1.015978875E1	-3.326247096E-2
1.019993975E1	1.179266453E-2
1.024009175E1	-2.503660798E-2
1.028024275E1	-8.192241490E-2
1.032039375E1	-2.998101354E-2
1.036054575E1	-9.167849422E-3
1.040069675E1	-4.133455217E-2
1.044084875E1	3.636324942E-2
1.048099975E1	-3.324902236E-2
1.052115075E1	-1.253093398E-1
1.056130275E1	-4.073053479E-2
1.060145375E1	5.955447614E-2
1.064160475E1	2.602303326E-2
1.068175675E1	-2.471910417E-2
1.072190775E1	-3.130248427E-2
1.076205875E1	-2.140899539E-2
1.080221075E1	3.157496452E-2
1.084236175E1	-4.281974494E-2
1.088251375E1	2.798652828E-2
1.092266512E1	-4.132402718E-2
1.096281613E1	-1.004668593E-2
1.100296812E1	-1.858888328E-2
1.104311913E1	-7.079223990E-3
1.108327013E1	-6.187523603E-3
1.112342213E1	2.509215653E-2
1.116357313E1	-3.627904952E-2
1.120372412E1	-1.622309983E-2
1.124387613E1	-6.366448402E-2
1.128402712E1	-7.114190340E-2
1.132417813E1	-2.354205966E-2
1.136433013E1	7.794104576E-2
1.140448113E1	1.611668050E-2
1.144463313E1	-2.805552542E-2
1.148478413E1	-5.694310963E-2
1.152493513E1	-3.658368945E-2
1.156508712E1	2.643233836E-2
1.160523813E1	8.884844184E-2
1.164538913E1	-5.620285213E-2
1.168554113E1	-9.871035576E-2
1.172569213E1	1.284048557E-3
1.176584313E1	3.032599926E-2
1.180599513E1	1.461102247E-2
1.184614612E1	-5.898086429E-3
1.188629713E1	-5.799034595E-2
1.192644887E1	-8.601254225E-3
1.196659988E1	5.313364863E-3
1.200675088E1	1.668269098E-2
1.204690288E1	-4.435697794E-3
1.208705388E1	-1.819530720E-1
1.212720487E1	4.183682799E-2
1.216735688E1	4.887044370E-2
1.220750787E1	-1.410804498E-1
1.224765888E1	4.418740869E-3
1.228781087E1	3.366242051E-3
1.232796188E1	-8.314799130E-2
1.236811288E1	-3.030787289E-2
1.240826488E1	9.799933434E-3
1.244841588E1	-4.229466498E-2
1.248856787E1	1.502734423E-2
1.252871888E1	-1.686395466E-2
1.256886987E1	-1.152024275E-1
1.260902188E1	1.218910575E-2
1.264917288E1	4.990773976E-2
1.268932388E1	-4.258702576E-2
1.272947588E1	-3.959208190E-2
1.276962688E1	-1.953028500E-2
1.280977788E1	-9.138320982E-2
1.284992987E1	-3.406003118E-2
1.289008088E1	3.949209452E-3
1.293023192E1	-4.334540963E-2
1.297038392E1	-2.956995428E-2
1.301053492E1	-1.429644227E-2
1.305068592E1	-3.464943051E-2
1.309083792E1	1.818893373E-2
1.313098892E1	-1.849298894E-2
1.317113992E1	-1.206631422E-2
1.321129192E1	-1.252064288E-2
1.325144292E1	-2.508923292E-2
1.329159392E1	3.149017990E-2
1.333174592E1	-9.679890096E-2
1.337189692E1	-3.497628987E-2
1.341204792E1	4.395936728E-3
1.345219992E1	-2.015476763E-2
1.349235092E1	-6.955555379E-2
1.353250192E1	-2.973367631E-2
1.357265392E1	-4.065452099E-2
1.361280492E1	-2.823854327E-2
1.365295592E1	9.916293025E-3
1.369310792E1	-5.131282568E-2
1.373325892E1	-8.496004343E-3
1.377340992E1	-1.882686496E-2
1.381356192E1	3.369516492E-2
1.385371292E1	3.937105715E-2
1.389386392E1	-4.332786798E-4
1.393401637E1	-1.268962741E-2
1.397416738E1	-1.221003878E-1
1.401431838E1	-3.841854572E-2
1.405447038E1	2.085701823E-2
1.409462138E1	-2.345259726E-2
1.413477237E1	-3.318060994E-2
1.417492438E1	-5.801841259E-2
1.421507537E1	3.015409112E-2
1.425522638E1	-5.950419009E-2
1.429537838E1	-8.943901062E-2
1.433552938E1	-2.761873841E-2
1.437568038E1	-1.174354792E-2
1.441583238E1	1.580093086E-2
1.445598338E1	-3.254092455E-2
1.449613437E1	6.981575489E-3
1.453628538E1	-1.396315098E-3
1.457643738E1	-5.362890780E-2
1.461658838E1	-8.804854274E-2
1.465673938E1	-1.889937043E-2
1.469689138E1	2.345435143E-2
1.473704238E1	-6.021755040E-2
1.477719337E1	2.509040236E-3
1.481734538E1	-6.753943384E-2
1.485749638E1	3.425298929E-3
1.489764738E1	1.405729115E-2
1.493779925E1	-4.341908455E-2
1.497795025E1	-1.753463030E-2
1.501810125E1	-7.038468897E-2
1.505825325E1	-4.391843677E-3
1.509840425E1	1.730541945E-2
1.513855525E1	-2.804967821E-2
1.517870725E1	-6.517365038E-2
1.521885825E1	-4.180993080E-2
1.525900925E1	-3.192989051E-2
1.529916125E1	3.107970536E-2
1.533931225E1	-3.418516159E-2
1.537946325E1	-6.456437051E-2
1.541961525E1	-6.860655069E-2
1.545976625E1	6.239563823E-3
1.549991725E1	6.376388669E-3
1.554006825E1	-5.233258009E-4
1.558022025E1	-7.894969046E-2
1.562037125E1	-2.896008968E-2
1.566052225E1	-8.612948656E-3
1.570067425E1	3.368580937E-3
1.574082525E1	-4.857808292E-2
1.578097625E1	-7.537236392E-2
1.582112825E1	-4.408742130E-2
1.586127925E1	3.030494928E-2
1.590143025E1	-2.896652162E-2
1.594158213E1	-8.525532782E-2
1.598173312E1	1.281124949E-3
1.602188413E1	-2.895541191E-2
1.606203612E1	-3.269002855E-2
1.610218713E1	-1.636986494E-2
1.614233813E1	3.917634487E-4
1.618248912E1	-3.761864662E-2
1.622264113E1	-2.548625886E-2
1.626279212E1	4.771386445E-2
1.630294313E1	-3.028682292E-2
1.634309512E1	-7.368134916E-2
1.638324613E1	-7.951277733E-2
1.642339713E1	3.155274510E-2
1.646354913E1	-7.847138822E-2
1.650370013E1	-5.033575594E-2
1.654385112E1	-7.025078773E-2
1.658400313E1	-5.333128452E-2
1.662415412E1	5.772312820E-2
1.666430513E1	-1.202772260E-2
1.670445613E1	-2.204049468E-2
1.674460813E1	-7.128399074E-2
1.678475913E1	9.157090545E-2
1.682491012E1	7.439997196E-3
1.686506213E1	-1.471217930E-2
1.690521312E1	-1.169448978E-1
1.694536354E1	-8.327429116E-2
1.698551554E1	6.383405328E-3
1.702566654E1	2.135637045E-2
1.706581754E1	6.702838719E-2
1.710596954E1	-1.509107888E-1
1.714612054E1	4.167310596E-3
1.718627154E1	5.582044423E-2
1.722642254E1	-2.486645401E-2
1.726657454E1	-3.251987457E-2
1.730672554E1	-1.995011508E-2
1.734687654E1	-1.454670310E-2
1.738702854E1	1.808953106E-2
1.742717954E1	-2.290295899E-2
1.746733054E1	3.605393171E-3
1.750748254E1	-4.473763168E-2
1.754763354E1	-9.862791002E-2
1.758778454E1	3.234972060E-2
1.762793554E1	4.475341916E-2
1.766808754E1	-2.065528929E-2
1.770823854E1	-7.094836056E-2
1.774838954E1	-4.265777707E-2
1.778854154E1	-1.571088374E-2
1.782869254E1	1.498056650E-3
1.786884354E1	2.126339972E-2
1.790899454E1	-5.177943349E-2
1.794914704E1	-8.650663197E-2
1.798929804E1	-5.013753533E-2
1.802944904E1	5.494511604E-2
1.806960104E1	-3.591593742E-2
1.810975204E1	-4.520073116E-2
1.814990304E1	-3.698013067E-2
1.819005504E1	-6.619048119E-2
1.823020604E1	-1.455255032E-2
1.827035704E1	1.523667455E-2
1.831050804E1	-6.909654737E-3
1.835066004E1	-1.504552907E-1
1.839081104E1	-4.759633541E-2
1.843096204E1	-1.039634943E-3
1.847111404E1	8.683115244E-3
1.851126504E1	-1.100019139E-1
1.855141604E1	-1.600382924E-2
1.859156704E1	-3.727073729E-2
1.863171904E1	-7.194998860E-3
1.867187004E1	-1.678033948E-2
1.871202104E1	4.847926497E-2
1.875217304E1	-6.197697759E-2
1.879232404E1	-2.389757037E-3
1.883247504E1	-3.994466901E-2
1.887262604E1	-1.852280974E-2
1.891277804E1	3.491489410E-2
1.895292912E1	-6.731431603E-2
1.899308013E1	-5.862535357E-2
1.903323212E1	7.376847267E-3
1.907338313E1	2.142068982E-2
1.911353413E1	-1.301297843E-2
1.915368512E1	1.916834235E-2
1.919383713E1	-2.931735456E-2
1.923398812E1	-5.774300873E-2
1.927413913E1	3.866646767E-2
1.931429112E1	3.941841960E-2
1.935444213E1	-5.742608964E-2
1.939459313E1	-9.501023769E-2
1.943474412E1	-2.767194808E-2
1.947489613E1	7.501977682E-4
1.951504712E1	-2.379875243E-2
1.955519813E1	-6.449712753E-2
1.959535012E1	-7.931280255E-2
1.963550113E1	-9.143232644E-2
1.967565213E1	9.155570269E-3
1.971580413E1	2.098273337E-2
1.975595513E1	3.114753306E-2
1.979610612E1	-1.068754077E-1
1.983625713E1	3.607439697E-2
1.987640912E1	1.226453483E-2
1.991656013E1	-3.279469371E-2
1.995671050E1	-6.436731935E-2
1.999686150E1	-2.006004274E-2
2.003701350E1	-8.906011105E-2
2.007716450E1	-3.458277225E-2
2.011731550E1	-4.942125142E-2
2.015746750E1	-5.243724525E-2
2.019761850E1	6.538941264E-3
2.023776950E1	-2.039567292E-2
2.027792050E1	-2.173760891E-2
2.031807250E1	3.498681486E-2
2.035822350E1	-6.775168777E-3
2.039837450E1	-4.673913360E-2
2.043852650E1	-1.306384921E-2
2.047867750E1	5.908202112E-2
2.051882850E1	-9.478336573E-4
2.055897950E1	-2.220421672E-2
2.059913150E1	-6.067538738E-2
2.063928250E1	-8.417651653E-2
2.067943350E1	-1.172834516E-2
2.071958550E1	3.984877467E-3
2.075973650E1	-3.762975633E-2
2.079988750E1	-8.507932663E-2
2.084003850E1	-1.892100513E-2
2.088019050E1	-3.463305831E-2
2.092034200E1	2.016763151E-2
2.096049300E1	-2.758599401E-2
2.100064500E1	-2.009161770E-2
2.104079600E1	-1.125705957E-2
2.108094700E1	-5.119237304E-3
2.112109800E1	9.261755705E-2
2.116125000E1	8.652125001E-3
2.120140100E1	-8.924137473E-2
2.124155200E1	-1.859063745E-2
2.128170400E1	-1.291123688E-2
2.132185500E1	-6.469768703E-2
2.136200600E1	-6.903222799E-2
2.140215700E1	-1.140856093E-1
2.144230900E1	4.623393416E-3
2.148246000E1	1.749603868E-2
2.152261100E1	9.407585263E-3
2.156276200E1	-1.916658819E-2
2.160291400E1	-7.814218998E-2
2.164306500E1	-3.009152591E-2
2.168321600E1	-9.732690454E-3
