"Time (s)"	"Pressure (hPa)"	"Altitude (m)"	"Time (velocity) (s)"	"Velocity (m/s)"
-5.446145000E-1	7.544995880E2	0.000000000E0	-3.061900000E-2	-4.157961958E-2
4.833765000E-1	7.545036316E2	-4.274347471E-2	9.973765000E-1	-4.236358424E-2
1.511376500E0	7.545077515E2	-8.629323931E-2	2.025369000E0	-5.491642151E-3
2.539361500E0	7.545082855E2	-9.193856507E-2	3.053356000E0	0.000000000E0
3.567350500E0	7.545082855E2	-9.193856507E-2	3.666751000E0	4.056694410E-3
3.766151500E0	7.545082092E2	-9.113209017E-2	4.296728500E0	1.671997159E-2
4.827305500E0	7.545065308E2	-7.338962543E-2	5.357891000E0	0.000000000E0
5.888476500E0	7.545065308E2	-7.338962543E-2	6.419046500E0	1.200822651E-1
6.949616500E0	7.544944763E2	5.403446932E-2	7.480180000E0	2.979359779E-1
8.010743500E0	7.544645691E2	3.701823798E-1	8.541320000E0	4.636325229E-1
9.071896500E0	7.544180298E2	8.621674224E-1	9.602459000E0	6.248169438E-1
1.013302150E1	7.543553162E2	1.525176302E0	1.066359350E1	8.095736575E-1
1.119416550E1	7.542740631E2	2.384250531E0	1.172473100E1	9.069694996E-1
1.225529650E1	7.541830444E2	3.346663983E0	1.278585850E1	8.789308709E-1
1.331642050E1	7.540948486E2	4.279318625E0	1.384698750E1	8.812870910E-1
1.437755450E1	7.540064240E2	5.214482321E0	1.490814250E1	8.767731128E-1
1.543873050E1	7.539184570E2	6.144892905E0	1.596930850E1	8.783935769E-1
1.649988650E1	7.538303375E2	7.077005520E0	1.703047850E1	8.792141444E-1
1.756107050E1	7.537421417E2	8.010013502E0	1.809166200E1	8.853836767E-1
1.862225350E1	7.536533356E2	8.949567609E0	1.915283900E1	8.892819518E-1
1.968342450E1	7.535641479E2	9.893247827E0	2.021400350E1	8.939431077E-1
2.074458250E1	7.534745026E2	1.084186271E1	2.127518700E1	8.825731313E-1
2.180579150E1	7.533860016E2	1.177845726E1	2.233638400E1	8.788722226E-1
2.286697650E1	7.532978821E2	1.271110328E1	2.339756400E1	8.728754074E-1
2.392815150E1	7.532103729E2	1.363737684E1	2.445873300E1	8.645950439E-1
2.498931450E1	7.531237030E2	1.455485311E1	2.551990700E1	7.261243613E-1
2.605049950E1	7.530509186E2	1.532540539E1	2.658108250E1	5.457821531E-1
2.711166550E1	7.529962158E2	1.590457085E1	2.764223250E1	3.798704220E-1
2.817279950E1	7.529581451E2	1.630766427E1	2.870335350E1	2.063139451E-1
2.923390750E1	7.529374695E2	1.652658565E1	2.976446500E1	2.664587118E-2
3.029502250E1	7.529347992E2	1.655485998E1	3.082555650E1	0.000000000E0
3.135609050E1	7.529347992E2	1.655485998E1	3.188663100E1	-1.446537448E-2
3.241717150E1	7.529362488E2	1.653951105E1	3.294773100E1	-1.903267151E-2
3.347829050E1	7.529381561E2	1.651931512E1	3.400885900E1	-1.522586208E-3
3.453942750E1	7.529383087E2	1.651769945E1	3.506998600E1	-2.588441515E-2
3.560054450E1	7.529409027E2	1.649023305E1	3.613113700E1	-3.045025427E-3
3.666172950E1	7.529412079E2	1.648700172E1	3.719228650E1	-1.751004836E-2
3.772284350E1	7.529429626E2	1.646842156E1	3.825339350E1	-2.207813125E-2
3.878394350E1	7.529451752E2	1.644499446E1	3.931450400E1	-1.903245295E-2
3.984506450E1	7.529470825E2	1.642479872E1	4.037562950E1	-2.969029682E-2
4.090619450E1	7.529500580E2	1.639329346E1	4.143675650E1	-1.743344017E-1
4.196731850E1	7.529675293E2	1.620830304E1	4.249788550E1	-3.471332064E-1
4.302845250E1	7.530023193E2	1.583994819E1	4.355902800E1	-5.267566210E-1
4.408960350E1	7.530551147E2	1.528097988E1	4.462017950E1	-7.017875672E-1
4.515075550E1	7.531254578E2	1.453627660E1	4.568132650E1	-8.775486252E-1
4.621189750E1	7.532134247E2	1.360507289E1	4.674248500E1	-9.124428497E-1
4.727307250E1	7.533049011E2	1.263681135E1	4.780364000E1	-8.964082028E-1
4.833420750E1	7.533947754E2	1.168560123E1	4.886476900E1	-8.818754808E-1
4.939533050E1	7.534832001E2	1.074982288E1	4.992590650E1	-8.817675884E-1
5.045648250E1	7.535716248E2	9.814133437E0	5.098704250E1	-8.817104032E-1
5.151760250E1	7.536600494E2	8.878532894E0	5.204816000E1	-8.732636869E-1
5.257871750E1	7.537476349E2	7.951899697E0	5.310927600E1	-8.663347142E-1
5.363983450E1	7.538345337E2	7.032617204E0	5.417037250E1	-8.814979712E-1
5.470091050E1	7.539229584E2	6.097280863E0	5.523145800E1	-8.722731257E-1
5.576200550E1	7.540104675E2	5.171716211E0	5.629255400E1	-8.934799523E-1
5.682310250E1	7.541001129E2	4.223647314E0	5.735364800E1	-8.987211252E-1
5.788419350E1	7.541902924E2	3.270022416E0	5.841474900E1	-9.107806059E-1
5.894530450E1	7.542816925E2	2.303583097E0	5.947588950E1	-8.209487610E-1
6.000647450E1	7.543640900E2	1.432416900E0	6.053706100E1	-6.384637024E-1
6.106764750E1	7.544281769E2	7.548964576E-1	6.159820850E1	-4.522402875E-1
6.212876950E1	7.544735718E2	2.750143392E-1	""	""