"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
8.130208356E-3	-2.589148553E-1	1.716420919E-1	-1.334551836E0	1.370228635E0
1.817120839E-2	-4.629743493E-1	1.636530411E-1	-1.311221738E0	1.400153567E0
2.821220836E-2	-4.644475552E-1	3.244912326E-2	-1.083553964E0	1.179344594E0
3.825420834E-2	-3.077988937E-1	-9.812212586E-2	-7.167698210E-1	7.862105869E-1
4.829520837E-2	-1.348591585E-1	-1.628753614E-1	-3.114653903E-1	3.764652247E-1
5.833620834E-2	1.525193578E-1	-2.002548569E-1	-4.014055073E-2	2.549027776E-1
6.837720837E-2	4.442442557E-1	-1.111105460E-1	1.451892883E-1	4.803940483E-1
7.841820834E-2	5.703663585E-1	-1.732354581E-2	2.224672598E-1	6.124618925E-1
8.845920837E-2	5.323058085E-1	3.133522868E-3	2.111537746E-1	5.726650061E-1
9.850020835E-2	3.178666297E-1	-3.487279415E-2	1.404270235E-1	3.492492734E-1
1.085412084E-1	9.007781893E-3	-1.112292445E-1	5.505387425E-2	1.244347782E-1
1.185832084E-1	-1.549987234E-1	-1.712047201E-1	-4.950311244E-2	2.361910638E-1
1.286242084E-1	-1.002908581E-1	-1.260209459E-1	-9.921146214E-2	1.891624943E-1
1.386652084E-1	-5.158267468E-3	-1.461745441E-2	-6.533737242E-2	6.715094885E-2
1.487062084E-1	4.203387916E-2	4.156961024E-2	-6.476142168E-2	8.768649400E-2
1.587472084E-1	2.724144682E-2	2.688491285E-2	-3.805806488E-2	5.397509857E-2
1.687882083E-1	6.207842678E-2	2.652998686E-2	7.653654456E-2	1.020559353E-1
1.788292084E-1	4.305231795E-2	-1.947824478E-2	2.086476579E-1	2.139316462E-1
1.888702083E-1	4.808750153E-2	-6.700733721E-2	2.275098985E-1	2.419982334E-1
1.989112084E-1	4.954375058E-2	-4.054810166E-2	2.427392641E-1	2.510400010E-1
2.089532083E-1	-3.574929178E-2	-2.228666246E-2	3.081944579E-1	3.110603335E-1
2.189942084E-1	-3.561290547E-2	-1.099861264E-2	3.769314015E-1	3.787697585E-1
2.290352084E-1	1.755772680E-2	1.388596773E-2	3.833504748E-1	3.840034901E-1
2.390762084E-1	-2.581545711E-2	3.524058402E-2	3.053684986E-1	3.084773193E-1
2.491172084E-1	-8.572851375E-2	9.076457441E-2	1.404287776E-1	1.879037722E-1
2.591582084E-1	-2.295577396E-1	9.021902919E-2	-2.826456338E-2	2.482642032E-1
2.691992084E-1	-2.733010523E-1	4.201399863E-2	-1.487666148E-1	3.139906797E-1
2.792402084E-1	-1.800153047E-1	-1.084108865E-1	-2.483093217E-1	3.252936358E-1
2.892822084E-1	-6.713904575E-2	-2.262276042E-1	-2.348937625E-1	3.329589464E-1
2.993232083E-1	9.590223044E-2	-1.829354042E-1	-1.180608389E-1	2.379095660E-1
3.093642084E-1	1.806238537E-1	-5.631336451E-2	1.153453919E-1	2.215868475E-1
3.194052083E-1	2.260059947E-1	5.809325695E-2	2.634024471E-1	3.519011016E-1
3.294462084E-1	2.876312622E-1	7.955721617E-2	2.391388410E-1	3.824244748E-1
3.394872083E-1	2.596542357E-1	4.740162313E-2	1.172138697E-1	2.888015361E-1
3.495282084E-1	1.244229019E-1	7.113956451E-2	-4.463764429E-2	1.501146743E-1
3.595692083E-1	3.242675766E-2	1.812040436E-1	-1.601099208E-1	2.439704629E-1
3.696102084E-1	-4.054634750E-2	3.917225182E-1	-3.601379058E-1	5.336570516E-1
3.796522084E-1	-6.678806663E-2	6.867010993E-1	-5.929266706E-1	9.097148357E-1
3.896932084E-1	-1.941092871E-1	9.420992929E-1	-7.909397051E-1	1.245317273E0
3.997342084E-1	-2.938104536E-1	9.825994474E-1	-8.640398410E-1	1.341041052E0
4.097752084E-1	-5.562565885E-1	5.597983932E-1	-8.338269854E-1	1.148069281E0
4.198162084E-1	-6.831505238E-1	7.509929895E-1	-6.740576649E-1	1.218621698E0
4.298572083E-1	-6.048172760E-1	4.786904955E-1	-3.842369127E-1	8.617346070E-1
4.398982084E-1	-4.024515742E-1	-5.114430892E-1	-3.341204274E-1	7.315584482E-1
4.499392083E-1	-1.880815387E-2	-9.915848637E-1	-6.566119123E-1	1.189425698E0
4.599812084E-1	-1.276271760E-2	-5.852478147E-1	-8.916389912E-1	1.066629262E0
4.700222083E-1	-3.631119458E-1	-2.690023255E-1	-1.058363282E0	1.150802057E0
4.800632084E-1	-8.763986622E-1	-3.255887550E-1	-1.012169402E0	1.377885899E0
4.901042084E-1	-1.034705886E0	-5.744023991E-1	-5.577483594E-1	1.308295693E0
5.001452084E-1	-6.983962615E-1	-8.663515377E-1	4.491620564E-1	1.200028699E0
5.101862084E-1	-4.511245282E-1	-9.452684838E-1	2.028238604E0	2.282717170E0
5.202272084E-1	-2.275340183E-1	-8.440596128E-1	3.858222683E0	3.956019544E0
5.302682084E-1	3.356620458E-1	-9.225877190E-1	4.773527110E0	4.873438025E0
5.403102083E-1	5.133932818E-1	-8.744791675E-1	5.422739371E0	5.516737148E0
5.503512084E-1	5.336528608E-1	-1.060836947E0	4.400082988E0	4.557509266E0
5.603922083E-1	1.874498932E-1	-1.363547301E0	2.695407372E0	3.026486346E0
5.704332084E-1	2.952383436E-2	-1.491213069E0	8.985644335E-1	1.741265665E0
5.804742083E-1	-7.724782911E-1	-1.736079842E0	-7.963863865E-1	2.060322112E0
5.905152084E-1	-1.320631370E0	-1.767030324E0	-2.266083748E0	3.162530464E0
6.005562083E-1	-2.377576995E0	-1.106297294E0	-2.148942969E0	3.390386697E0
6.105972084E-1	-2.532312155E0	-2.745332068E-1	-1.271177081E0	2.846728737E0
6.206392084E-1	-1.187869169E0	2.428991854E-1	-1.880607811E-1	1.226947445E0
6.306802084E-1	5.439880338E-1	7.898155779E-1	2.429488868E-1	9.893208729E-1
6.407212084E-1	2.055482097E0	1.744189931E0	-9.708880591E-1	2.865279880E0
6.507622084E-1	3.210102390E0	3.008486593E0	-2.621471668E0	5.121314543E0
6.608032084E-1	3.484844635E0	3.866788269E0	-3.633058687E0	6.347858621E0
6.708442084E-1	3.240602636E0	3.858829039E0	-3.763257469E0	6.289210903E0
6.808852084E-1	2.965152878E0	3.025009655E0	-3.436112477E0	5.454327086E0
6.909262083E-1	2.841960523E0	2.099265609E0	-3.294278322E0	4.830727209E0
7.009672084E-1	2.539984871E0	1.055737590E0	-3.835077942E0	4.719526229E0
7.110092083E-1	1.970329826E0	4.953059435E-1	-4.093235144E0	4.569693813E0
7.210502084E-1	8.220422146E-1	6.363407850E-2	-3.039513674E0	3.149356454E0
7.310912083E-1	-1.643209393E-1	-1.258631880E0	-1.784783056E0	2.190115553E0
7.411322084E-1	-3.137240601E-1	-2.591843827E0	-1.560756928E0	3.041716522E0
7.511732084E-1	-1.586025525E0	-3.414088063E0	-4.806107211E-1	3.795057434E0
7.612142084E-1	-2.163558669E0	-3.264084177E0	1.055562174E0	4.055791308E0
7.712552084E-1	-1.401989090E0	-2.472215642E0	2.902899912E0	4.062542490E0
7.812962084E-1	-1.135105430E0	-2.321406595E0	4.567665358E0	5.247948146E0
7.913382084E-1	-1.945950007E0	-2.998275016E0	5.778567002E0	6.794719354E0
8.013792083E-1	-2.351065280E0	-3.099288005E0	6.190254838E0	7.311111342E0
8.114202084E-1	-2.269694404E0	-2.360348466E0	4.557180716E0	5.611653379E0
8.214612083E-1	-1.552328167E0	-9.258387709E-1	2.482357053E0	3.070667143E0
8.315022084E-1	2.335912221E-1	1.365330702E-1	2.043220632E0	2.061057178E0
8.415432083E-1	2.312515026E0	8.445197886E-1	1.731794418E0	3.009991915E0
8.515842084E-1	2.558154217E0	1.022019036E0	1.279354413E0	3.037338246E0
8.616252083E-1	1.835728969E0	1.424868806E0	5.447441518E-2	2.324461104E0
8.716672084E-1	1.233014790E0	1.620896126E0	-1.190599526E0	2.359058489E0
8.817082084E-1	1.565728085E0	1.385835133E0	-1.352183822E0	2.490069184E0
8.917492084E-1	1.656018450E0	1.589020030E0	-1.717599133E0	2.866623195E0
9.017902084E-1	2.612864275E0	1.923386625E0	-1.370783815E0	3.522147654E0
9.118312084E-1	3.185521280E0	2.230432105E0	-2.534586722E-1	3.897000705E0
9.218722084E-1	3.455126746E0	2.507509435E0	-4.986470425E-1	4.298156962E0
9.319132084E-1	4.065126117E0	2.499401101E0	-1.523887895E0	5.009440141E0
9.419542084E-1	3.839719754E0	1.856501495E0	-2.131053413E0	4.767749389E0
9.519952083E-1	2.562147573E0	1.055392020E0	-2.727226165E0	3.887957697E0
9.620372084E-1	8.412125304E-1	2.955942929E-1	-2.841022922E0	2.977654404E0
9.720782083E-1	-5.132623408E-1	-7.753372872E-1	-2.295466007E0	2.476640937E0
9.821192084E-1	-1.818167880E0	-1.798486006E0	-6.801171345E-1	2.646289037E0
9.921602083E-1	-2.459655530E0	-2.212462442E0	1.234327344E0	3.531070571E0
1.002201208E0	-2.296588526E0	-2.733359309E0	2.953614568E0	4.633509576E0
1.012242583E0	-2.320458468E0	-3.228593917E0	4.402516015E0	5.932157571E0
1.022283583E0	-2.444258057E0	-3.072465073E0	5.149167446E0	6.475211538E0
1.032325583E0	-2.220240408E0	-3.269964137E0	5.792966940E0	7.012888057E0
1.042366583E0	-2.257881420E0	-3.941515685E0	6.676804576E0	8.075474831E0
1.052407583E0	-1.773660482E0	-2.992503229E0	4.282108980E0	5.517010459E0
1.062448583E0	-2.762034640E0	-1.935603213E0	4.274595016E0	5.444957089E0
1.072489583E0	1.218003891E-1	-1.163272564E0	2.835457834E0	3.067223422E0
1.082530583E0	1.890006333E0	-4.919005251E-1	2.084339130E0	2.856319252E0
1.092571583E0	1.259066767E0	2.610855464E0	-2.745595193E-1	2.911562863E0
1.102612583E0	1.872185335E0	4.577372321E0	-3.428127520E0	6.017430813E0
1.112653583E0	4.360486813E0	4.608670127E0	-6.061400916E0	8.774637694E0
1.122695583E0	3.926773393E0	3.322530021E0	-4.964125875E0	7.148517379E0
1.132736583E0	2.513221288E0	2.418310161E0	-3.307898533E0	4.806942686E0
1.142777583E0	6.830034663E-1	5.203869903E-1	-1.054526047E0	1.359897621E0
1.152818583E0	-1.034981583E0	-9.172503805E-1	1.970297082E0	2.407198731E0
1.162859583E0	-1.035158169E0	-1.122195289E0	3.001340711E0	3.367331401E0
1.172900583E0	-1.250561261E0	-1.411520782E0	2.765031338E0	3.346892990E0
1.182941583E0	-7.504939297E-1	-1.621241696E0	1.878694017E0	2.592519428E0
1.192982583E0	-5.697116530E-1	-1.833265829E0	1.229161621E0	2.279533562E0
1.203024583E0	-1.171949101E0	-2.145786057E0	4.042285430E-1	2.478157221E0
1.213065583E0	-1.513102267E0	-1.965404132E0	-9.277301989E-1	2.648202257E0
1.223106583E0	-1.927245787E0	-1.741622418E0	-2.546712093E0	3.637755827E0
1.233147583E0	-2.449401707E0	-1.901863609E0	-2.273784531E0	3.845354340E0
1.243188583E0	-3.020985017E0	-1.618423339E0	-1.967157712E0	3.951626758E0
1.253229583E0	-2.947378804E0	-1.163757298E0	-3.104890223E0	4.436408024E0
1.263270583E0	-2.653420562E0	-1.195139304E0	-4.635260925E0	5.473083453E0
1.273311583E0	-2.784221900E0	-1.846951237E0	-5.648374068E0	6.562564290E0
1.283352583E0	-3.792331579E0	-2.901619372E0	-5.669629866E0	7.412548590E0
1.293394583E0	-4.855070333E0	-3.915070483E0	-5.019764471E0	8.006092691E0
1.303435583E0	-5.056419497E0	-4.429051264E0	-3.526948096E0	7.590997042E0
1.313476583E0	-2.980842127E0	-4.269096587E0	-1.833518429E0	5.520180729E0
1.323517583E0	-8.590612292E-2	-3.251712638E0	-7.999341846E-2	3.253830649E0
1.333558583E0	1.686463879E0	-1.833552927E0	1.164245394E0	2.749826193E0
1.343599583E0	3.094680984E0	-9.710886186E-1	2.033933792E0	3.828439652E0
1.353640583E0	2.605460238E0	-1.702948934E-1	3.957839065E0	4.741509619E0
1.363681583E0	1.279986497E0	5.758016378E-1	4.201642230E0	4.429865730E0
1.373723583E0	-1.422496006E-2	8.832722104E-1	3.059316147E0	3.184303288E0
1.383764583E0	-1.101255240E0	3.472298849E-1	2.032388080E0	2.337505723E0
1.393805583E0	-1.510986890E0	-4.047793508E-1	1.437017566E0	2.124134457E0
1.403846583E0	-1.477818414E0	-5.211319256E-1	1.164746647E0	1.952475480E0
1.413887583E0	-6.771655331E-1	-3.983994538E-1	1.690926474E0	1.864539521E0
1.423928583E0	6.256036160E-1	1.594290125E-1	2.240116264E0	2.331291138E0
1.433969583E0	1.641739403E0	7.771230268E-1	2.388932580E0	3.001037710E0
1.444010583E0	1.978188630E0	1.473736911E0	1.979286007E0	3.162705145E0
1.454052583E0	2.094411836E0	1.909537495E0	1.552992411E0	3.231822985E0
1.464093583E0	1.645992668E0	1.738416390E0	1.180167509E0	2.669115725E0
1.474134583E0	1.612339603E0	1.514528257E0	1.577880499E0	2.717193719E0
1.484175583E0	1.804675868E0	1.438334944E0	1.945340581E0	3.018279705E0
1.494216583E0	2.743556269E0	1.540610347E0	1.971347827E0	3.713057163E0
1.504257583E0	4.144214678E0	1.937869009E0	1.821543331E0	4.924212800E0
1.514298583E0	3.673831030E0	1.849375493E0	1.129672709E0	4.265370392E0
1.524339583E0	2.506952196E0	1.267336630E0	3.407809907E-1	2.829678980E0
1.534380583E0	1.745264064E0	5.017928445E-1	-1.585402358E-1	1.822876221E0
1.544422583E0	4.882064735E-1	-3.017724609E-1	2.325127763E-1	6.192530743E-1
1.554463583E0	-3.386962391E-1	-7.282981914E-1	9.573599410E-1	1.249668538E0
1.564504583E0	4.904143456E-1	-8.199743468E-1	1.683364854E0	1.935608791E0
1.574545583E0	9.309179547E-1	-9.887279141E-1	2.431071709E0	2.784654517E0
1.584586583E0	-1.487446877E-1	-1.272100357E0	2.501751097E0	2.810537823E0
1.594627583E0	-1.069762795E0	-1.552593631E0	1.997693626E0	2.746947259E0
1.604668583E0	-1.270089938E0	-1.745507893E0	1.716419749E0	2.757901922E0
1.614709583E0	-1.758618520E0	-1.979175494E0	1.754600313E0	3.176239442E0
1.624751583E0	-2.292646480E0	-1.980834349E0	2.001056360E0	3.630999746E0
1.634792583E0	-2.471020471E0	-1.716944829E0	2.303742741E0	3.789600550E0
1.644833583E0	-2.576544002E0	-1.472952799E0	2.122655057E0	3.648812606E0
1.654874583E0	-2.390632512E0	-1.318594492E0	1.433755404E0	3.083742823E0
1.664915583E0	-1.985288174E0	-1.281678096E0	3.923709744E-1	2.395417053E0
1.674956583E0	-1.549716362E0	-1.331153142E0	-6.194519797E-1	2.134785761E0
1.684997583E0	-9.371467743E-1	-1.263247088E0	-1.346332221E0	2.070422114E0
1.695038583E0	-5.087691575E-1	-1.164112224E0	-1.032328262E0	1.636980442E0
1.705079583E0	-7.013143145E-2	-6.843791699E-1	-3.306220382E-1	7.632851355E-1
1.715121583E0	4.949660741E-2	-2.040561318E-2	4.430271578E-1	4.462503398E-1
1.725162583E0	4.368418269E-2	3.647925818E-1	4.440477893E-1	5.763335620E-1
1.735203583E0	3.186684291E-1	3.384000045E-1	-4.654974228E-1	6.578388719E-1
1.745244583E0	5.591577577E-1	-4.237126350E-2	-1.464547134E0	1.568231817E0
1.755285583E0	6.195617612E-1	5.539652109E-2	-1.873294406E0	1.973868658E0
1.765326583E0	4.786353124E-1	4.825730467E-1	-1.731038958E0	1.859694701E0
1.775367583E0	1.543783338E-1	6.938826495E-1	-1.261275699E0	1.447799085E0
1.785408583E0	3.257005099E-1	8.190341145E-1	-6.537649029E-1	1.097408881E0
1.795450583E0	1.062418911E0	6.913537288E-1	-1.033374329E0	1.635410170E0
1.805491583E0	1.672523678E0	3.833341026E-1	-2.360458101E0	2.918225991E0
1.815532583E0	1.836491884E0	3.162817419E-1	-3.108091573E0	3.623943958E0
1.825573583E0	1.691464856E0	3.680529892E-1	-2.858628888E0	3.341896989E0
1.835614583E0	1.177399291E0	2.330518895E-1	-1.865023811E0	2.217858447E0
1.845655583E0	3.147956720E-1	2.481499851E-2	-1.021770530E0	1.069451782E0
1.855696583E0	-4.910535559E-1	-1.913600725E-1	-7.752302831E-1	9.374082697E-1
1.865737583E0	-1.058004702E0	-2.513922662E-1	-6.933885598E-1	1.289713036E0
1.875779583E0	-1.372848175E0	-1.417107797E-1	-6.193370819E-1	1.512736751E0
1.885820583E0	-1.687163937E0	-9.842091858E-2	2.156488216E-1	1.703735085E0
1.895861583E0	-1.789863409E0	-1.263413733E-1	1.448103302E0	2.305770227E0
1.905902583E0	-1.557161475E0	-4.146248925E-1	3.040831051E0	3.441412377E0
1.915943583E0	-9.727592412E-1	-6.232821983E-1	4.146387504E0	4.304331606E0
1.925984583E0	-6.120432286E-1	-5.520075631E-1	3.787491254E0	3.876131998E0
1.936025583E0	-5.230870518E-1	-5.536371821E-1	2.450934116E0	2.566556493E0
1.946066583E0	-4.433103092E-4	-6.242206764E-1	-2.552701396E-1	6.743993576E-1
1.956107583E0	4.450122510E-1	-2.394534212E-1	-2.402558346E0	2.455129417E0
1.966149583E0	-4.926858427E-2	2.754880571E-1	-2.475792384E0	2.491559550E0
1.976190583E0	-1.012456427E0	7.235613620E-1	-1.507455757E0	1.954745999E0
1.986231583E0	-2.035283183E0	8.163169134E-1	-4.264625806E-1	2.233969846E0
1.996272583E0	-1.724595034E0	5.731429088E-1	6.790587884E-1	1.940062283E0
2.006313583E0	1.833452026E-1	-2.010705435E-1	2.556547987E0	2.570988610E0
2.016354542E0	1.497932251E0	1.683869469E-1	3.951275565E0	4.229034616E0
2.026395542E0	1.730770278E0	2.027112722E-1	3.721872338E0	4.109621798E0
2.036436542E0	1.608480587E0	-7.523536366E-1	2.406512526E0	2.990743775E0
2.046478542E0	9.398611249E-1	-1.373676433E0	1.128886843E0	2.011146782E0
2.056519542E0	-4.254632366E-2	-1.728615287E0	-9.422788024E-2	1.731704332E0
2.066560542E0	-3.526033664E-1	-1.779871979E0	-1.268028356E0	2.213632605E0
2.076601542E0	1.317987259E-1	-1.243739607E0	-1.887665692E0	2.264407401E0
2.086642542E0	6.466755925E-1	-4.537088513E-1	-1.838069024E0	2.000634595E0
